,R_O,R_O,R_O,R_O,R_O,R_O,R_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O
,Precision_mean,Precision_std,Recall_mean,Recall_std,F1-score_mean,F1-score_std,Support,Precision_mean,Precision_std,Recall_mean,Recall_std,F1-score_mean,F1-score_std,Support
idx,,,,,,,,,,,,,,
jaccard_Dec_stump_small_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
jaccard_Dec_stump_small_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
jaro_Dec_stump_large_0,0.943254642188788,0.005056557545457238,0.8329166666666666,0.009851325347947382,0.8846265451026988,0.005132397950365924,2400,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_large_1,0.5448783844703188,0.012609031530166084,0.7994444444444445,0.020092379244472377,0.6479257157486434,0.010716084144120846,600,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_medium_0,0.9456690488329534,0.002615162323004005,0.8293055555555555,0.006071525831776201,0.8836696448881103,0.004542552588457794,2400,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_medium_1,0.5425231724569667,0.011191210351749041,0.8094444444444444,0.008388704928078635,0.6496213599851548,0.01064218120159619,600,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_small_0,0.9147415449157825,0.004570544441142374,0.8833333333333333,0.004639803635691682,0.8987487737286396,0.0013937262678545286,2400,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_small_1,0.5896850363107191,0.005057486727375834,0.6705555555555556,0.020838888148345672,0.6274098958348088,0.009325970359009629,600,0.0,0.0,0.0,0.0,0.0,0.0,100.0
fuzz_ratio_Dec_stump_large_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_ratio_Dec_stump_large_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_ratio_Dec_stump_medium_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_ratio_Dec_stump_medium_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_ratio_Dec_stump_small_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_ratio_Dec_stump_small_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_token_ratio_Dec_stump_large_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_token_ratio_Dec_stump_large_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
